name,platform,year,genre,publisher,NA_sales,EU_sales,JP_sales,other_sales
Panzer Dragoon,SAT,1995,Shooter,Sega,0,0,370000,0
SD Gundam Force,GBA,2004,Shooter,Namco Bandai Games,10000,0,0,0
Devil May Cry 4,PS4,2015,Action,Capcom,10000,0,80000,0
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,510000,170000,580000,60000
One Piece: Super Grand Battle! X,3DS,2014,Fighting,Namco Bandai Games,0,0,120000,0
Happy Feet Two,PS3,,Action,Warner Bros. Interactive Entertainment,90000,10000,0,10000
Bust-A-Move 2 Arcade Edition,PS,1995,Puzzle,Acclaim Entertainment,110000,70000,0,10000
Colin McRae Rally 04,XB,2004,Racing,Codemasters,80000,20000,0,0
Crash Tag Team Racing,GC,2005,Racing,Vivendi Games,120000,30000,0,0
Paperboy,N64,1999,Action,Midway Games,190000,50000,0,0
The King of Fighters Collection: The Orochi Saga,PS2,2006,Fighting,Ignition Entertainment,100000,80000,0,30000
R-Type Delta,PS,1998,Shooter,Irem Software Engineering,10000,10000,0,0
New Love Plus,3DS,2012,Simulation,Konami Digital Entertainment,0,0,190000,0
Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,1750000,450000,620000,90000
Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,710000,110000,0,60000
Super Street Fighter II,GEN,1993,Fighting,Capcom,0,0,150000,0
Jampack Winter '99,PS,1999,Misc,Sony Computer Entertainment,940000,640000,0,110000
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,250000,260000,50000,110000
Pressure Cooker,2600,1982,Action,Activision,140000,10000,0,0
Petz: Saddle Club,PSP,2009,Simulation,Ubisoft,80000,0,0,10000
ZhuZhu Pets,DS,2010,Simulation,Activision,680000,270000,0,90000
A Ressha de Gyoukou 2001,PS2,2001,Simulation,ArtDink,0,0,30000,0
Odoru Daisousasen The Game: Sensuikan ni Sennyuu Seyo!,DS,2010,Adventure,Namco Bandai Games,0,0,50000,0
Shin Sangoku Musou 5 Empires,PSP,2010,Action,Tecmo Koei,0,0,50000,0
Pro Evolution Soccer 2010,PSP,2009,Sports,Konami Digital Entertainment,90000,330000,200000,180000
Let's Cheer,X360,2011,Misc,Take-Two Interactive,120000,0,0,10000
Cartoon Network: Punch Time Explosion,3DS,2011,Fighting,Deep Silver,70000,20000,0,10000
Command & Conquer: Red Alert Retaliation,PS,1998,Strategy,Virgin Interactive,390000,270000,0,50000
New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,110000,140000,330000,20000
NHL 09,PC,2008,Sports,Electronic Arts,0,20000,0,0
Rapala Pro Bass Fishing 2010,Wii,2010,Sports,Activision,230000,50000,0,20000
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,210000,120000,0,40000
Highschool Terra Story,SAT,1998,Adventure,KID,0,0,30000,0
CSI: Fatal Conspiracy,X360,2010,Adventure,Ubisoft,110000,40000,0,10000
Wing Arms,SAT,1994,Shooter,Sega,0,0,200000,0
Scrabble,DS,2009,Misc,Ubisoft,210000,20000,0,30000
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,260000,240000,0,100000
Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,440000,280000,0,180000
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,0,0,340000,0
Smart Boy's Winter Wonderland,DS,2008,Misc,UFO Interactive,10000,0,0,0
Super Robot Taisen D,GBA,2003,Strategy,Banpresto,0,0,230000,10000
Utawarerumono: Futari no Hakuoro,PS3,2016,Misc,Aqua Plus,0,0,10000,0
Irotoridori no Sekai: World's End Re-Birth,PSV,2015,Action,HuneX,0,0,10000,0
River King: Mystic Valley (US sales),DS,2007,Sports,Rising Star Games,70000,0,0,0
Ys: The Oath in Felghana,PSP,2010,Role-Playing,Falcom Corporation,90000,0,40000,10000
Dragon Ball Z: Infinite World,PS2,2008,Fighting,Namco Bandai Games,80000,60000,210000,20000
Fabulous Finds,DS,2009,Puzzle,ValuSoft,100000,0,0,10000
Beaterator,PSP,2009,Misc,Take-Two Interactive,60000,20000,0,20000
Exhibition Volume 6,XB,2004,Misc,Microsoft Game Studios,10000,0,0,0
Phantasy Star Online Ver. 2,DC,2001,Role-Playing,Sega,0,0,190000,0
Game of Thrones,PC,2012,Role-Playing,Focus Home Interactive,0,70000,0,10000
The Crew: Wild Run,XOne,2015,Action,Ubisoft,0,20000,0,0
NBA 2K11,PC,2010,Action,Take-Two Interactive,180000,0,0,10000
NFL 2K3,XB,2002,Sports,Sega,380000,110000,0,20000
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,THQ,90000,30000,0,0
Durarara!! 3-way Standoff,PSP,2010,Adventure,ASCII Media Works,0,0,50000,0
City Builder,Wii,2010,Misc,Virtual Play Games,40000,0,0,0
Downtown Nekketsu Jidaigek,3DS,2015,Action,Arc System Works,0,0,20000,0
The Sims 2,GC,2005,Simulation,Electronic Arts,260000,70000,0,10000
Jikkyou Powerful Pro Yakyuu Portable 4,PSP,2009,Sports,Konami Digital Entertainment,0,0,270000,0
Driver '76,PSP,2007,Racing,Ubisoft,30000,140000,0,80000
Desktop Tower Defense,DS,2009,Strategy,THQ,110000,0,0,10000
Fatal Fury: Wild Ambition,PS,1999,Fighting,SNK Playmore,30000,20000,0,0
Time Crisis: Razing Storm,PS3,2010,Shooter,Namco Bandai Games,180000,210000,70000,80000
Guitar Hero: World Tour,PS3,2008,Misc,Activision,1100000,560000,0,270000
TrackMania Turbo,PC,2016,Action,Ubisoft,0,10000,0,0
Metal Gear Solid: Social Ops,PS2,2002,Action,Konami Digital Entertainment,30000,20000,0,10000
Tokimeki Memorial: Taisen Pazurudama,PS,1996,Puzzle,Konami Digital Entertainment,0,0,90000,10000
Shadow Hearts: From The New World,PS2,2005,Role-Playing,Ghostlight,70000,60000,0,20000
Parasite Eve II,PS,1999,Role-Playing,SquareSoft,320000,220000,0,40000
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,2011,Misc,Unknown,0,0,30000,0
J Legend Retsuden,3DS,2013,Misc,Namco Bandai Games,0,0,70000,0
Deepak Chopra's Leela,Wii,2011,Misc,THQ,110000,10000,0,10000
Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,80000,50000,0,10000
Looney Tunes: Back in Action,GBA,2003,Platform,Electronic Arts,130000,50000,0,0
Star Trek: Conquest,Wii,2007,Strategy,Bethesda Softworks,110000,10000,0,10000
Nightmare Creatures,PS,1997,Action,Sony Computer Entertainment,350000,240000,0,40000
Summon Night X: Tears Crown,DS,2009,Role-Playing,Namco Bandai Games,0,0,50000,0
The Simpsons Game,Wii,2007,Action,Electronic Arts,450000,470000,0,110000
Cloudy With a Chance of Meatballs,DS,2009,Platform,Ubisoft,200000,10000,0,20000
Musashi: Samurai Legend,PS2,2005,Role-Playing,Atari,70000,60000,0,20000
Tiger Woods PGA Tour 10,PSP,2009,Sports,Electronic Arts,120000,70000,0,50000
ATV: Quad Power Racing,GBA,2002,Racing,Liquid Games,180000,70000,0,0
Dead Space,PS3,2008,Action,Electronic Arts,1050000,670000,0,300000
Storm Lover 2nd V,PSV,2016,Adventure,D3Publisher,0,0,20000,0
FIFA 14,PSV,2013,Sports,Electronic Arts,110000,250000,10000,130000
Fight Night Round 2,GC,2005,Fighting,Electronic Arts,130000,30000,0,0
Destiny: The Taken King,PS3,2015,Shooter,Activision,160000,170000,20000,60000
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,210000,10000,0,20000
Hyperdimension Neptunia mk2,PSV,2014,Action,Compile Heart,0,0,40000,0
My Boyfriend,DS,2008,Simulation,DTP Entertainment,100000,0,0,10000
SpongeBob SquarePants: Plankton's Robotic Revenge,3DS,2013,Shooter,Activision,0,60000,0,0
The Daring Game for Girls,DS,,Adventure,Unknown,110000,0,0,10000
Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,280000,790000,870000,320000
Shining Stars,DS,2008,Action,"Destination Software, Inc",30000,0,0,0
World of Tanks,X360,,Shooter,,0,30000,0,0
Classic Word Games,DS,2009,Misc,Ubisoft,90000,370000,0,70000
Top Gun: Combat Zones,GBA,2004,Simulation,Mastiff,70000,30000,0,0
Blades of Time,X360,2012,Action,Konami Digital Entertainment,70000,30000,0,10000
NCAA Football 2005,GC,2004,Sports,Electronic Arts,170000,40000,0,10000
Rango: The Video Game,DS,2011,Action,Electronic Arts,70000,30000,0,10000
Dragon Ball: Origins,DS,2008,Action,Atari,90000,30000,0,10000
Genma Onimusha,XB,2002,Action,Capcom,140000,40000,50000,10000
Irritating Stick,PS,1998,Action,Saurus,10000,10000,0,0
Operation: Vietnam,DS,2007,Shooter,Majesco Entertainment,60000,0,0,0
Fable,XB,2004,Role-Playing,Microsoft Game Studios,1990000,580000,0,90000
Operation Flashpoint: Red River,X360,2011,Shooter,Codemasters,100000,150000,10000,30000
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,2010,Action,Namco Bandai Games,0,0,40000,0
Disruptor,PS,1995,Shooter,Interplay,70000,50000,0,10000
Chicken Hunter,DS,2007,Shooter,Phoenix Games,20000,0,0,0
Metro: Last Light,X360,2013,Action,Deep Silver,170000,160000,0,30000
Rugby 06,XB,2006,Sports,Electronic Arts,10000,0,0,0
DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage,DS,2008,Adventure,Tecmo Koei,0,0,70000,0
Battle Arena Toshinden 3,PS,1996,Fighting,Sony Computer Entertainment,60000,40000,140000,20000
Freestyle Metal X,GC,2003,Racing,Midway Games,10000,0,0,0
Monster Rancher Advance 2,GBA,2002,Simulation,Tecmo Koei,10000,0,0,0
Tom Clancy's Rainbow Six: Critical Hour,XB,,Shooter,Unknown,40000,10000,0,0
Wallace & Gromit in Project Zoo,PS2,2003,Platform,BAM! Entertainment,110000,90000,0,30000
Clive Barker's Jericho,PC,2007,Shooter,Codemasters,0,10000,0,0
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2110000,1110000,720000,300000
Bomberman 2,DS,2008,Puzzle,Hudson Soft,0,10000,0,0
Monopoly,DS,2010,Misc,Electronic Arts,160000,100000,0,30000
My Baby 3 & Friends,DS,2010,Simulation,Majesco Entertainment,130000,20000,0,10000
Mario Superstar Baseball,GC,2005,Sports,Nintendo,930000,240000,250000,40000
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,60000,50000,0,20000
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ,1310000,490000,0,30000
Monopoly,X360,2008,Misc,Electronic Arts,340000,200000,0,60000
Burnout Legends,DS,2005,Racing,Electronic Arts,150000,20000,0,10000
Battle Fantasia,X360,2008,Fighting,505 Games,70000,0,10000,10000
Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000,Strategy,Namco Bandai Games,0,0,170000,0
Golden Sun,GBA,2001,Role-Playing,Nintendo,930000,380000,400000,60000
LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1530000,870000,0,240000
Kill.Switch,PS2,2003,Shooter,Sony Computer Entertainment,340000,270000,0,90000
Godzilla Unleashed,Wii,2007,Fighting,Atari,150000,0,0,10000
Dynasty Warriors: Gundam,PS2,2008,Action,Namco Bandai Games,0,0,280000,0
Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,1630000,330000,0,150000
Air Conflicts: Aces of World War II,PSP,2009,Simulation,Graffiti,50000,0,0,0
Brave: The Video Game,Wii,2012,Action,Disney Interactive Studios,0,20000,0,0
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,710000,1020000,0,310000
Disney Art Academy,3DS,2016,Action,Nintendo,10000,10000,70000,0
Cabela's North American Adventures,PSP,2010,Sports,Activision,80000,0,0,10000
Kidz Sports: Crazy Golf,Wii,2008,Sports,Data Design Interactive,110000,0,0,10000
Yu-Gi-Oh! The Dawn of Destiny,XB,2004,Strategy,Konami Digital Entertainment,230000,70000,0,10000
Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,150000,0,2050000,0
SingStar: Made In Germany,PS3,2009,Misc,Sony Computer Entertainment,0,70000,0,20000
Dragon Age: Origins - Ultimate Edition,PC,2010,Role-Playing,Electronic Arts,0,120000,0,20000
Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,0,70000,0,10000
Superman: Shadow of Apokolips,GC,2003,Action,Atari,60000,20000,0,0
Brandish: The Dark Revenant,PSP,2009,Role-Playing,Falcom Corporation,0,0,20000,0
Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,0,0,1050000,0
Mata Hari: Betrayal is only a Kiss Away,PC,2008,Adventure,DTP Entertainment,0,20000,0,0
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4120000,1770000,870000,190000
Okage: Shadow King,PS2,2001,Role-Playing,Sony Computer Entertainment,140000,110000,80000,40000
MTX Mototrax,PS2,2004,Racing,Activision,130000,100000,0,30000
Dinotopia: The Sunstone Odyssey,GC,,Action,Unknown,10000,0,0,0
The King of Fighters '97,PS,1998,Fighting,SNK,0,0,160000,10000
Pirates: Duels on the High Seas,DS,2008,Action,Oxygen Interactive,30000,0,0,0
Blade II,PS2,2002,Action,Activision,150000,120000,0,40000
Toukiden: The Age of Demons,PSP,2013,Action,Tecmo Koei,0,0,180000,0
Petz: Dolphinz Encounter,DS,2009,Simulation,Ubisoft,10000,10000,0,0
Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,470000,170000,0,10000
Wall-E,PS3,2008,Platform,THQ,120000,210000,0,80000
Brain Boost: Beta Wave,DS,2005,Puzzle,505 Games,140000,0,0,10000
Fishing Resort,Wii,2011,Sports,Namco Bandai Games,160000,0,250000,10000
Toy Story 3: The Video Game,DS,2010,Action,Disney Interactive Studios,930000,970000,20000,210000
Pirates of the Caribbean,XB,2003,Role-Playing,Ubisoft,220000,60000,0,10000
Culdcept,PS2,2002,Strategy,Sega,10000,10000,0,0
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998,Sports,Sega,0,0,120000,0
Jan Sangoku Musou,PS2,2006,Misc,Tecmo Koei,0,0,10000,0
Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,3DS,2014,Action,Nippon Columbia,0,0,70000,0
Persona 5,PS3,2016,Role-Playing,Unknown,0,0,100000,0
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,440000,340000,0,150000
NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,280000,220000,0,70000
Valhalla Knights 2,PSP,2008,Role-Playing,Rising Star Games,90000,0,120000,10000
International Superstar Soccer 2000,PS2,2000,Sports,Konami Digital Entertainment,0,0,200000,0
X2: Wolverine's Revenge,GBA,2003,Platform,Activision,140000,50000,0,0
Phoenix Wright: Ace Attorney - Justice for All,DS,2006,Adventure,Capcom,240000,50000,260000,30000
Shining Soul,GBA,2002,Role-Playing,Atari,30000,10000,90000,0
Battle Stadium D.O.N,PS2,2006,Fighting,Namco Bandai Games,0,0,150000,0
Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,170000,150000,0,40000
Best Friends Tonight,DS,2010,Misc,Ubisoft,30000,0,0,0
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3630000,240000,10000,610000
Tigger's Honey Hunt,N64,2000,Platform,Ubisoft,160000,40000,0,0
Crypt Killer,PS,1997,Shooter,Konami Digital Entertainment,20000,10000,0,0
NBA Live 08,PS2,2007,Sports,Electronic Arts,590000,20000,10000,100000
Cabela's Outdoor Adventures (2009),PS3,2009,Sports,Activision Value,210000,0,0,20000
Hasbro Family Game Night Fun Pack,Wii,2011,Misc,Electronic Arts,110000,0,0,10000
Actua Tennis,PS,1997,Sports,Gremlin Interactive Ltd,70000,50000,0,10000
Titanfall,X360,2014,Shooter,Electronic Arts,870000,380000,20000,110000
Imagine Animal Doctor Care Center,DS,2010,Simulation,Ubisoft,50000,0,0,0
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,1995,Misc,Sega,0,0,90000,0
World Championship Poker,PS2,2004,Misc,Play It,800000,30000,0,130000
Spider-Man 2,GBA,2004,Action,Activision,760000,280000,0,20000
Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,Activision,100000,40000,0,0
Hatsune Miku: Project Diva X,PS4,2016,Misc,Sega,10000,0,20000,0
World Stadium 5,PS,2001,Sports,Namco Bandai Games,0,0,90000,10000
Whiplash,XB,2003,Racing,Eidos Interactive,40000,10000,0,0
Are You Alice?,PSP,2011,Adventure,Idea Factory,0,0,20000,0
Minna no Conveni,DS,2010,Simulation,Taito,0,0,10000,0
NCIS,Wii,2011,Adventure,Ubisoft,80000,40000,0,10000
We Sing Pop!,Wii,2012,Misc,Nordic Games,80000,190000,0,30000
Metal Gear Solid V: The Phantom Pain,X360,2015,Action,Konami Digital Entertainment,120000,80000,0,20000
Meiji Toukyou Renka,PSP,2013,Adventure,Broccoli,0,0,20000,0
DreamWorks Super Star Kartz,DS,2011,Racing,Activision,90000,30000,0,10000
Shrek 2,PS2,2004,Platform,Activision,1120000,690000,30000,20000
Barbie Horse Adventures: Wild Horse Rescue,PS2,2003,Sports,Universal Interactive,240000,190000,0,60000
pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,90000,440000,0,70000
Ultimate Band,Wii,2008,Misc,Disney Interactive Studios,200000,30000,0,20000
Just Dance 3,X360,2011,Misc,Ubisoft,1470000,400000,0,160000
Gallop Racer 2000,PS,2000,Sports,Tecmo Koei,0,0,110000,10000
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,90000,100000,0,40000
Tetris Axis,3DS,2011,Puzzle,Tetris Online,200000,130000,60000,30000
Frogger's Adventures 2: The Lost Wand,GBA,2002,Adventure,Konami Digital Entertainment,140000,50000,0,0
Gon: BakuBakuBakuBaku Adventure,3DS,2012,Action,Namco Bandai Games,0,0,20000,0
Game of Thrones (Telltale),X360,2015,Adventure,Telltale Games,20000,10000,0,0
Wreckless: ThE YaKuza MisSiOns,PS2,2002,Racing,Activision,110000,80000,0,30000
Tribes: Aerial Assault,PS2,,Shooter,Unknown,110000,90000,0,30000
Madden NFL 98,PS,1997,Sports,Electronic Arts,1290000,30000,0,30000
Summon Night,DS,2008,Role-Playing,Banpresto,0,0,70000,0
Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015,Role-Playing,Tecmo Koei,0,0,40000,0
Mobile Suit Gundam Seed,PS2,2003,Action,Namco Bandai Games,0,0,220000,0
Blood Wake,XB,2001,Shooter,Microsoft Game Studios,430000,120000,0,20000
Avatar: The Game,PSP,2009,Action,Ubisoft,220000,240000,0,140000
Pop'n Music 14 Fever!,PS2,2007,Misc,Konami Digital Entertainment,0,0,30000,0
Entaku no Seito: Students of Round,X360,2011,Role-Playing,ChunSoft,0,0,10000,0
Ultraman Star Chronicles,PSP,2013,Strategy,Namco Bandai Games,0,0,20000,0
Date A Live: Rine Utopia,PS3,2013,Adventure,Compile Heart,0,0,40000,0
Conan,PS3,2007,Action,THQ,130000,150000,0,60000
Madden NFL 07,Wii,2006,Sports,Electronic Arts,460000,0,0,40000
Tantei Jinguuji Saburo: Hai to Diamond,PSP,2009,Adventure,Arc System Works,0,0,10000,0
Far Cry: Primal,XOne,2016,Action,Ubisoft,460000,320000,0,70000
Zero no Tsukaima: Maigo no Period to Ikusen no Symphony,PS2,2008,Adventure,Marvelous Interactive,0,0,10000,0
Spawn: Armageddon,XB,2003,Action,Electronic Arts,130000,40000,0,10000
Megamind: The Blue Defender,PSP,2010,Adventure,THQ,80000,30000,0,20000
Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,Xseed Games,20000,20000,0,10000
Backyard Sports: Sandlot Sluggers,DS,2010,Sports,Atari,140000,0,0,10000
Polaris,2600,1982,Action,Tigervision,260000,20000,0,0
Looney Tunes: Sheep Raider,PS,2001,Platform,Infogrames,70000,50000,0,10000
Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1230000,70000,20000,110000
Warriors Orochi,PS2,2007,Action,Tecmo Koei,110000,90000,640000,30000
Amnesia Crowd,PSP,2013,Misc,Idea Factory,0,0,50000,0
ATV Quad Kings,DS,2010,Racing,Storm City Games,100000,0,0,10000
Jewel Match,DS,2010,Puzzle,PlayV,50000,120000,0,20000
Alvin and the Chipmunks: Chipwrecked,X360,2011,Misc,505 Games,80000,10000,0,10000
Venetica,PC,2009,Role-Playing,DTP Entertainment,0,40000,0,10000
Pinball Hall of Fame: The Gottlieb Collection,PSP,2005,Misc,Play It,200000,10000,0,20000
Blood Bowl,X360,2009,Sports,Focus Home Interactive,130000,30000,0,10000
Pro Evolution Soccer 2008,PS3,2007,Sports,Konami Digital Entertainment,40000,1100000,320000,130000
Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,210000,180000,0,30000
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007,Action,Activision,320000,40000,10000,40000
Rampage 2: Universal Tour,N64,1999,Action,GT Interactive,180000,40000,0,0
James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,650000,220000,0,30000
Disney's DuckTales,GB,1988,Platform,Capcom,820000,230000,350000,30000
Sonic Mega Collection Plus,PS2,2004,Misc,Sega,1540000,1140000,0,220000
Turning Point: Fall of Liberty,PS3,2008,Shooter,Codemasters,210000,10000,0,20000
Dynasty Warriors 3,XB,2002,Action,THQ,60000,20000,0,0
GRID Autosport,X360,2014,Racing,Codemasters,30000,60000,0,10000
WipEout Pulse,PSP,2007,Racing,Sony Computer Entertainment,130000,120000,0,60000
Endgame,PS2,2002,Shooter,Empire Interactive,40000,30000,0,10000
Frostbite,2600,1983,Action,Activision,320000,20000,0,0
Sid Meier's Railroads!,PC,2006,Simulation,Take-Two Interactive,10000,30000,0,10000
Pro Evolution Soccer 2008,PSP,2008,Sports,Konami Digital Entertainment,20000,530000,190000,250000
Star Driver: Kagayaki no Takuto - Ginga Bishounen Densetsu,PSP,2011,Adventure,Namco Bandai Games,0,0,50000,0
Zero Escape: Virtue's Last Reward,3DS,2012,Adventure,Rising Star Games,30000,0,0,0
Kung Fu Panda,DS,2008,Action,Activision,560000,570000,0,140000
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,,Action,Disney Interactive Studios,480000,180000,0,10000
Tiger Woods PGA Tour 10,PS2,2009,Sports,Electronic Arts,120000,10000,0,130000
Kung Fu Panda: Legendary Warriors,DS,2008,Action,Activision,20000,0,0,0
Dungeons & Dragons Heroes,XB,2003,Role-Playing,Atari,190000,60000,0,10000
Jumping Flash!,PS,1995,Platform,Sony Computer Entertainment,50000,30000,210000,20000
Tekken 4,PS2,2002,Fighting,Namco Bandai Games,1550000,1270000,330000,290000
Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,940000,20000,0,80000
MLB 2001,PS,2000,Sports,Sony Computer Entertainment,490000,340000,0,60000
Gun,PS2,2005,Shooter,Activision,980000,40000,0,160000
J-League Jikkyou Winning Eleven 3,PS,1997,Sports,Konami Digital Entertainment,0,0,180000,10000
Spider-Man: Friend or Foe,PSP,2007,Action,Activision,160000,0,0,10000
Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,410000,0,0,0
Sonic Unleashed,Wii,2008,Platform,Sega,1280000,680000,20000,210000
The Simpsons Game,PSP,2007,Action,Electronic Arts,240000,550000,0,310000
Momotarou Dentetsu 11,PS2,2002,Misc,Hudson Soft,0,0,460000,0
V-Rally 3,XB,2003,Racing,Atari,10000,0,0,0
Chaos Child,PS3,2015,Adventure,5pb,0,0,10000,10000
Psychic Detective,PS,1995,Adventure,Electronic Arts,10000,0,0,0
Storm Lover 2nd,PSP,2013,Misc,D3Publisher,0,0,20000,0
Jikkyou Powerful Pro Yakyuu 11,GC,2004,Sports,Konami Digital Entertainment,0,0,90000,0
WWE Wrestlemania XIX,GC,2003,Fighting,THQ,260000,70000,0,10000
Assassin's Creed II,X360,2009,Action,Ubisoft,3100000,1560000,80000,510000
Metro: Last Light,XOne,2014,Action,Deep Silver,150000,130000,0,30000
SingStar Latino,PS3,2009,Misc,Sony Computer Entertainment,110000,0,0,10000
Puppy Palace,DS,2008,Simulation,Ubisoft,350000,0,0,30000
The Saboteur,PC,2009,Action,Electronic Arts,0,50000,0,10000
Minority Report: Everybody Runs,GBA,2002,Action,Activision,30000,10000,0,0
Mechanic Master 2,DS,2010,Puzzle,Crave Entertainment,20000,0,0,0
MLB 09: The Show,PS2,2009,Sports,Sony Computer Entertainment,160000,130000,0,40000
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,Strategy,Namco Bandai Games,0,0,360000,0
The Secret Saturdays: Beasts of the 5th Sun,DS,2009,Action,D3Publisher,80000,0,0,10000
TRON: Evolution,PC,2010,Action,Disney Interactive Studios,60000,0,0,0
Street Fighter Collection,SAT,1996,Fighting,Capcom,0,0,110000,0
Game de Hakken!! Tamagotchi 2,GB,1997,Simulation,Namco Bandai Games,0,0,1440000,10000
Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,DS,2011,Role-Playing,Hudson Soft,0,0,30000,0
PachiPara 14: Fuu to Kumo to Super Umi in Okinawa,PS2,2007,Misc,Irem Software Engineering,0,0,50000,0
BattleTanx: Global Assault,N64,1999,Action,3DO,310000,70000,0,0
Power Pro Kun Pocket 11,DS,2008,Sports,Konami Digital Entertainment,0,0,290000,0
Alien Syndrome,Wii,2007,Role-Playing,Sega,60000,0,0,0
Rapala for Kinect,X360,2011,Sports,Activision,0,20000,0,0
Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,Activision,170000,130000,0,30000
Petz Fantasy: Sunshine Magic,DS,2010,Simulation,Ubisoft,70000,0,0,0
Tom Clancy's Splinter Cell: Double Agent,Wii,2006,Action,Ubisoft,100000,10000,0,10000
LEGO Star Wars III: The Clone Wars,PC,2011,Action,LucasArts,100000,130000,0,30000
Cyber Troopers Virtual-On Marz,PS2,2003,Fighting,Sega,20000,10000,0,0
Densetsu no Stafi 4,DS,2006,Platform,Nintendo,0,0,170000,0
Terraria,PSV,2013,Action,Screenlife,0,10000,90000,0
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013,Sports,Nintendo,390000,220000,130000,60000
Namco Tennis Smash Court,PS,1995,Sports,Sony Computer Entertainment,0,0,230000,20000
Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft,1150000,1110000,0,400000
Disney Sing It,PS3,2008,Misc,Disney Interactive Studios,270000,70000,0,40000
Monster Trucks,GBA,2004,Racing,Majesco Entertainment,430000,160000,0,10000
Command & Conquer 3: Kane's Wrath,X360,2008,Strategy,Electronic Arts,160000,60000,0,20000
SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,270000,20000,0,1020000
Dead Space 2,PS3,2011,Shooter,Electronic Arts,730000,500000,0,210000
Clu Clu Land,NES,1984,Puzzle,Nintendo,420000,100000,280000,20000
Karaoke Joysound Wii DX,Wii,2009,Misc,Hudson Soft,0,0,90000,0
Exhibition,XB,2001,Misc,Microsoft Game Studios,190000,50000,0,10000
Pac-Man Collection,GBA,2001,Puzzle,Atari,2070000,770000,50000,50000
F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0,0,280000,0
RockMan & Forte,SNES,1998,Platform,Capcom,0,0,140000,0
NHL Slapshot,Wii,,Sports,Unknown,400000,0,0,20000
